filename,width,height,class,xmin,ymin,xmax,ymax
433fb85e3fb33a24.jpg,1024,685,Window,643,353,780,534
433fb85e3fb33a24.jpg,1024,685,Window,650,127,759,295
433fb85e3fb33a24.jpg,1024,685,Window,658,0,764,47
433fb85e3fb33a24.jpg,1024,685,Window,925,0,1009,191
433fb85e3fb33a24.jpg,1024,685,Window,934,120,1014,461
433fb85e3fb33a24.jpg,1024,685,Window,934,444,1015,684
30848870504ed29d.jpg,1024,768,Window,464,728,518,767
c924c1f6e764671e.jpg,1024,766,Window,197,362,291,447
c924c1f6e764671e.jpg,1024,766,Window,464,380,528,443
c924c1f6e764671e.jpg,1024,766,Window,826,369,864,440
38d7ba007c04728b.jpg,1024,768,Window,0,0,551,767
6511ce4b0a96e012.jpg,1024,682,Window,74,464,96,488
6511ce4b0a96e012.jpg,1024,682,Window,102,493,124,527
6511ce4b0a96e012.jpg,1024,682,Window,110,462,129,478
6511ce4b0a96e012.jpg,1024,682,Window,115,535,144,564
6511ce4b0a96e012.jpg,1024,682,Window,144,499,171,525
6511ce4b0a96e012.jpg,1024,682,Window,152,538,169,562
6511ce4b0a96e012.jpg,1024,682,Window,212,506,240,531
6511ce4b0a96e012.jpg,1024,682,Window,232,546,271,578
6511ce4b0a96e012.jpg,1024,682,Window,259,509,271,527
6511ce4b0a96e012.jpg,1024,682,Window,285,510,326,530
6511ce4b0a96e012.jpg,1024,682,Window,303,550,316,565
6511ce4b0a96e012.jpg,1024,682,Window,413,425,423,446
6511ce4b0a96e012.jpg,1024,682,Window,423,383,437,410
6511ce4b0a96e012.jpg,1024,682,Window,445,424,472,447
6511ce4b0a96e012.jpg,1024,682,Window,458,386,472,408
6511ce4b0a96e012.jpg,1024,682,Window,523,388,533,410
6511ce4b0a96e012.jpg,1024,682,Window,535,479,567,507
6511ce4b0a96e012.jpg,1024,682,Window,551,386,560,398
6511ce4b0a96e012.jpg,1024,682,Window,579,485,600,506
6511ce4b0a96e012.jpg,1024,682,Window,583,392,598,410
6511ce4b0a96e012.jpg,1024,682,Window,588,357,598,374
6511ce4b0a96e012.jpg,1024,682,Window,606,392,628,421
6511ce4b0a96e012.jpg,1024,682,Window,610,359,628,380
6511ce4b0a96e012.jpg,1024,682,Window,611,483,650,507
6511ce4b0a96e012.jpg,1024,682,Window,616,526,646,548
6511ce4b0a96e012.jpg,1024,682,Window,762,485,788,498
6511ce4b0a96e012.jpg,1024,682,Window,831,482,842,495
6511ce4b0a96e012.jpg,1024,682,Window,853,518,874,536
6511ce4b0a96e012.jpg,1024,682,Window,861,482,876,499
6511ce4b0a96e012.jpg,1024,682,Window,892,428,910,458
6511ce4b0a96e012.jpg,1024,682,Window,923,424,944,457
6511ce4b0a96e012.jpg,1024,682,Window,931,479,941,499
6511ce4b0a96e012.jpg,1024,682,Window,961,466,998,500
6511ce4b0a96e012.jpg,1024,682,Window,971,432,989,458
bca7d0f744cc7ab5.jpg,1024,681,Window,206,533,251,608
bca7d0f744cc7ab5.jpg,1024,681,Window,461,473,496,549
bca7d0f744cc7ab5.jpg,1024,681,Window,607,323,629,357
bca7d0f744cc7ab5.jpg,1024,681,Window,664,371,696,409
bca7d0f744cc7ab5.jpg,1024,681,Window,666,412,697,448
bca7d0f744cc7ab5.jpg,1024,681,Window,667,305,695,350
bca7d0f744cc7ab5.jpg,1024,681,Window,857,602,907,652
bca7d0f744cc7ab5.jpg,1024,681,Window,865,501,901,549
bca7d0f744cc7ab5.jpg,1024,681,Window,970,533,1023,593
bca7d0f744cc7ab5.jpg,1024,681,Window,1004,632,1023,680
1511b399b1ecda97.jpg,1024,775,Window,140,4,332,238
855a550d1fafedb1.jpg,1024,768,Window,23,447,179,686
855a550d1fafedb1.jpg,1024,768,Window,48,229,213,414
855a550d1fafedb1.jpg,1024,768,Window,85,106,233,234
596a15de1e715a79.jpg,1024,681,Window,810,229,976,349
596a15de1e715a79.jpg,1024,681,Window,76,183,225,562
596a15de1e715a79.jpg,1024,681,Window,190,286,332,596
596a15de1e715a79.jpg,1024,681,Window,332,550,360,615
596a15de1e715a79.jpg,1024,681,Window,341,417,366,512
596a15de1e715a79.jpg,1024,681,Window,343,263,478,374
596a15de1e715a79.jpg,1024,681,Window,350,217,366,251
596a15de1e715a79.jpg,1024,681,Window,368,202,385,249
596a15de1e715a79.jpg,1024,681,Window,387,406,408,488
596a15de1e715a79.jpg,1024,681,Window,401,188,416,238
596a15de1e715a79.jpg,1024,681,Window,409,397,451,452
596a15de1e715a79.jpg,1024,681,Window,444,151,465,210
596a15de1e715a79.jpg,1024,681,Window,517,470,536,574
596a15de1e715a79.jpg,1024,681,Window,545,470,568,575
596a15de1e715a79.jpg,1024,681,Window,573,306,613,410
596a15de1e715a79.jpg,1024,681,Window,599,162,610,272
596a15de1e715a79.jpg,1024,681,Window,605,28,618,96
596a15de1e715a79.jpg,1024,681,Window,623,468,678,543
596a15de1e715a79.jpg,1024,681,Window,628,9,644,55
596a15de1e715a79.jpg,1024,681,Window,628,303,690,387
596a15de1e715a79.jpg,1024,681,Window,639,140,694,229
596a15de1e715a79.jpg,1024,681,Window,644,0,703,80
596a15de1e715a79.jpg,1024,681,Window,749,467,787,541
596a15de1e715a79.jpg,1024,681,Window,752,293,791,368
596a15de1e715a79.jpg,1024,681,Window,762,124,798,202
596a15de1e715a79.jpg,1024,681,Window,768,0,807,29
596a15de1e715a79.jpg,1024,681,Window,810,432,1023,533
596a15de1e715a79.jpg,1024,681,Window,825,29,1023,164
ad5a183f3d4b01b8.jpg,1024,683,Window,0,211,1023,399
b263e95f58b52959.jpg,1024,682,Window,510,482,693,681
583972999e7a731e.jpg,1024,654,Window,14,277,155,607
583972999e7a731e.jpg,1024,654,Window,840,35,899,194
583972999e7a731e.jpg,1024,654,Window,876,336,933,454
7f4ad3ecaad44469.jpg,1024,1024,Window,157,254,179,276
7f4ad3ecaad44469.jpg,1024,1024,Window,182,253,200,278
7f4ad3ecaad44469.jpg,1024,1024,Window,209,251,237,273
7f4ad3ecaad44469.jpg,1024,1024,Window,256,245,290,267
7f4ad3ecaad44469.jpg,1024,1024,Window,389,242,423,269
7f4ad3ecaad44469.jpg,1024,1024,Window,393,294,409,314
7f4ad3ecaad44469.jpg,1024,1024,Window,452,245,472,265
7f4ad3ecaad44469.jpg,1024,1024,Window,484,244,506,262
7f4ad3ecaad44469.jpg,1024,1024,Window,486,294,500,317
7f4ad3ecaad44469.jpg,1024,1024,Window,506,239,536,264
7f4ad3ecaad44469.jpg,1024,1024,Window,562,239,578,260
7f4ad3ecaad44469.jpg,1024,1024,Window,586,292,600,315
7f4ad3ecaad44469.jpg,1024,1024,Window,630,235,642,256
7f4ad3ecaad44469.jpg,1024,1024,Window,742,361,763,381
7f4ad3ecaad44469.jpg,1024,1024,Window,753,287,767,304
7f4ad3ecaad44469.jpg,1024,1024,Window,795,253,811,264
7f4ad3ecaad44469.jpg,1024,1024,Window,799,361,820,376
7f4ad3ecaad44469.jpg,1024,1024,Window,856,306,880,322
a190ed869eb75985.jpg,1024,674,Window,190,73,243,156
a190ed869eb75985.jpg,1024,674,Window,190,0,306,37
a190ed869eb75985.jpg,1024,674,Window,202,201,308,287
a190ed869eb75985.jpg,1024,674,Window,261,73,308,155
a508ceede365f541.jpg,1024,683,Window,824,320,906,431
a508ceede365f541.jpg,1024,683,Window,587,314,650,429
a508ceede365f541.jpg,1024,683,Window,697,166,766,272
a3ff08b1075061c7.jpg,1024,686,Window,595,0,833,220
a3ff08b1075061c7.jpg,1024,686,Window,907,0,1023,158
acb0ab3c27848348.jpg,1024,682,Window,989,304,1023,347
0c8ebd9431edd552.jpg,694,1024,Window,157,167,578,652
cee5eeba6291cbcd.jpg,1024,818,Window,465,369,533,410
cee5eeba6291cbcd.jpg,1024,818,Window,801,363,831,426
cee5eeba6291cbcd.jpg,1024,818,Window,848,366,867,426
65cb6608bb4aa3e6.jpg,1024,768,Window,885,623,996,761
6db512c2cbd94f8b.jpg,766,1024,Window,73,437,239,695
6db512c2cbd94f8b.jpg,766,1024,Window,103,85,184,296
6db512c2cbd94f8b.jpg,766,1024,Window,275,452,418,685
6db512c2cbd94f8b.jpg,766,1024,Window,299,160,388,334
6db512c2cbd94f8b.jpg,766,1024,Window,551,256,671,386
b5cd0aa7d1121d8d.jpg,1024,768,Window,686,271,748,350
b5cd0aa7d1121d8d.jpg,1024,768,Window,247,383,260,431
